"134","Barbell bench press","Wyciskanie sztangi na ławce płaskiej","PUSH HORIZONTAL, HIGH, ŁAWKA, KLATKA","wyciskanie_sztangi_na_lawce_plaskiej.mp4"
"135","BB incline bench press","Wyciskanie sztangi na ławce skośnej dodatniej","PUSH HORIZONTAL, HIGH, ŁAWKA, KLATKA","wyciskanie_sztangi_na_lawce_skosnej_dodatniej.mp4"
"136","Cable crossovers","Krzyżowanie linek wyciągu","PUSH HORIZONTAL, HIGH, ROZPIĘTKI","krzyzowanie_linek_wyciagu.mp4"
"137","Cable flyers","Rozpiętki na wyciągu","PUSH HORIZONTAL, HIGH, ROZPIĘTKI","rozpietki_na_wyciagu.mp4"
"138","Close grip bench press","Wyciskanie sztangi wąsko na ławce płaskiej","PUSH HORIZONTAL, HIGH","wyciskanie_sztangi_wasko_na_lawce_plaskiej.mp4"
"56","DB bench press","Wyciskanie hantli na ławce płaskiej","PUSH HORIZONTAL, HIGH, ŁAWKA, KLATKA","wyciskanie_hantli_na_lawce_plaskiej.mp4"
"57","DB bench press rotation","Wyciskanie hantli na ławce płaskiej z rotacją","PUSH HORIZONTAL, HIGH, ŁAWKA, KLATKA","wyciskanie_hantli_na_lawce_plaskiej_z_rotacja.mp4"
"58","DB Floor Flyers ","Rozpiętki z hantlami na ziemii","PUSH HORIZONTAL, HIGH, ROZPIĘTKI","rozpietki_z_hantlami_na_ziemii.mp4"
"59","DB floor press","Wyciskanie hantli z ziemii","PUSH HORIZONTAL, HIGH, KLATKA, FLOOR","wyciskanie_hantli_z_ziemii.mp4"
"60","DB floor press thin","Wyciskanie hantli z ziemii wąsko","PUSH HORIZONTAL, HIGH, KLATKA, FLOOR","wyciskanie_hantli_z_ziemii_wasko.mp4"
"61","DB Flyers","Rozpiętki hantlami","PUSH HORIZONTAL, HIGH, ROZPIĘTKI","rozpietki_hantlami.mp4"
"62","DB glute bridge floor press","Wyciskanie hantli w mostku biodrowym","PUSH HORIZONTAL, HIGH, KLATKA, FLOOR","wyciskanie_hantli_w_mostku_biodrowym.mp4"
"63","DB Hex bench press","Wyciskanie złączonych hantli na ławce","PUSH HORIZONTAL, HIGH, KLATKA","wyciskanie_zlaczonych_hantli_na_lawce.mp4"
"64","DB Hex incline bench press","Wyciskanie złączonych hantli na ławce skośnej","PUSH HORIZONTAL, HIGH, KLATKA","wyciskanie_zlaczonych_hantli_na_lawce_skosnej.mp4"
"65","DB incline bench press","Wyciskanie hantli na ławce skośnej","PUSH HORIZONTAL, HIGH, ŁAWKA, KLATKA","wyciskanie_hantli_na_lawce_skosnej.mp4"
"66","DB incline bench press rotation","Wyciskanie hantli na ławce skośnej z rotacją ","PUSH HORIZONTAL, HIGH, ŁAWKA, KLATKA","wyciskanie_hantli_na_lawce_skosnej_z_rotacja.mp4"
"67","DB Incline Flyers","Rozpiętki hantlami na ławce skośnej","PUSH HORIZONTAL, HIGH, ROZPIĘTKI","rozpietki_hantlami_na_lawce_skosnej.mp4"
"68","DB mix bench press","Naprzemienne wyciskanie hantli na ławce","PUSH HORIZONTAL, HIGH, ŁAWKA, KLATKA","naprzemienne_wyciskanie_hantli_na_lawce.mp4"
"69","DB Mix floor press","Naprzemienne wyciskanie hantli z ziemii","PUSH HORIZONTAL, HIGH, KLATKA","naprzemienne_wyciskanie_hantli_z_ziemii.mp4"
"70","DB Pullover","Przenoszenie hantla za głowę","PUSH HORIZONTAL, HIGH, PULLOVER","przenoszenie_hantla_za_glowe.mp4"
"71","Dips","Pompki na poręczach","PUSH HORIZONTAL, HIGH","pompki_na_poreczach.mp4"
"72","KB bench press","Wyciskanie kettli na ławce płaskiej","PUSH HORIZONTAL, HIGH, KLATKA","wyciskanie_kettli_na_lawce_plaskiej.mp4"
"73","KB floor press","Wyciskanie kettli z ziemii","PUSH HORIZONTAL, HIGH, KLATKA","wyciskanie_kettli_z_ziemii.mp4"
"74","KB floor press bottom up","Wyciskanie odwróconych kettli z ziemii","PUSH HORIZONTAL, HIGH, KLATKA","wyciskanie_odwroconych_kettli_z_ziemii.mp4"
"75","KB incline bench press","Wyciskanie kettli na ławce skośnej","PUSH HORIZONTAL, HIGH, KLATKA","wyciskanie_kettli_na_lawce_skosnej.mp4"
"76","Pallof press","Pallof press","PUSH HORIZONTAL, HIGH, CORE","pallof_press.mp4"
"77","Powerband push up","Pompki z gumą powerband","PUSH HORIZONTAL, HIGH, GUMA","pompki_z_guma_powerband.mp4"
"78","Push Up","Pompka","PUSH HORIZONTAL, HIGH, BW","pompka.mp4"
"79","BB pendlay row","Wiosłowanie Pendlaya","PULL HORIZONTAL, HIGH, PLECY","wioslowanie_pendlaya.mp4"
"80","BB reverse grip row","Wiosłowanie sztangą w podchwycie","PULL HORIZONTAL, HIGH, PLECY","wioslowanie_sztanga_w_podchwycie.mp4"
"81","BB row","Wiosłowanie sztangą w nachwycie","PULL HORIZONTAL, HIGH, PLECY","wioslowanie_sztanga_w_nachwycie.mp4"
"82","Cable facepull","Przyciąganie linek wyciągu do twarzy","PULL HORIZONTAL, HIGH, WYCIĄG","przyciaganie_linek_wyciagu_do_twarzy.mp4"
"83","Cable facepull rotation","Przyciąganie linek wyciągu do twarzy z rotacją","PULL HORIZONTAL, HIGH, WYCIĄG","przyciaganie_linek_wyciagu_do_twarzy_z_rotacja.mp4"
"84","Cable half knee row","Przyciąganie linki wyciągu do klatki w półklęku","PULL HORIZONTAL, HIGH, WYCIĄG","przyciaganie_linki_wyciagu_do_klatki_w_polkleku.mp4"
"85","Cable row","Wiosłowanie na wyciągu nachwytem","PULL HORIZONTAL, HIGH, PLECY, WYCIĄG","wioslowanie_na_wyciagu_nachwytem.mp4"
"86","Cable row neutral grip","Wiosłowanie na wyciągu chwytem neutralnym","PULL HORIZONTAL, HIGH, PLECY, WYCIĄG","wioslowanie_na_wyciagu_chwytem_neutralnym.mp4"
